rule_id,rule_level,freq_per_minute,hour_of_day,src_port,dst_port,label
100200,12,10,8,51864,22,1
100200,12,9,6,32146,22,1
100200,12,1178,7,48938,49400,0
100200,12,8,6,62467,22,1
100200,12,6,9,58690,22,1
100200,12,12,8,41599,80,1
100200,12,5,7,55295,22,1
100200,12,6,8,45666,22,1
100201,12,57469,6,4990,53,0
100200,12,10,8,50952,22,1
100200,12,57469,6,2812,80,0
100201,12,57469,6,37118,53,0
100200,12,9,6,32146,22,1
100200,12,7,7,50279,22,1
100200,12,57469,6,27715,80,0
100200,12,12,8,41599,80,1
100200,12,6,8,41024,22,1
100200,12,12,8,41599,80,1
100200,12,5,8,56472,22,1
100200,12,57469,6,4741,80,0
100200,12,9,6,32146,22,1
100200,12,9,7,24330,22,1
100300,12,1,8,0,0,1
100200,12,57469,6,55308,80,0
100200,12,57469,6,50631,80,0
100200,12,6,8,15585,22,1
100200,12,10,8,50530,22,1
100200,12,9,6,32146,22,1
100200,12,12,8,41599,80,1
100200,12,9,6,32146,22,1
100200,12,3753,6,17459,80,0
100201,12,57470,6,42464,53,0
100200,12,6,8,41024,22,1
100200,12,6,8,45666,22,1
100200,12,6,8,45561,22,1
100200,12,8,6,62467,22,1
100200,12,7,7,50279,22,1
100200,12,6,8,41024,22,1
100200,12,10,8,51344,22,1
100200,12,7,8,43532,22,1
100201,12,57469,6,45358,53,0
100200,12,3753,6,18237,80,0
100200,12,6,9,58690,22,1
100201,12,57470,6,44338,53,0
100201,12,57470,6,64028,53,0
100201,12,3753,6,1721,53,0
100200,12,8,6,38328,22,1
100200,12,57469,6,3476,80,0
100200,12,10,8,51670,22,1
100200,12,6,8,41024,22,1
100200,12,10,8,51152,22,1
100201,12,57470,6,22664,53,0
100200,12,10,8,51864,22,1
100200,12,6,9,58690,22,1
100200,12,6,9,58690,22,1
100200,12,8846,6,1437,80,0
100200,12,6,8,13300,22,1
100200,12,12,8,41599,80,1
100200,12,1333,8,45946,3995,0
100200,12,8,6,62467,22,1
100200,12,10,8,51344,22,1
100200,12,6,7,17927,22,1
100200,12,7,7,50279,22,1
100200,12,12,8,41599,80,1
100200,12,9,6,32146,22,1
100200,12,57469,6,5976,80,0
100200,12,9,6,32146,22,1
100200,12,12,8,41599,80,1
100200,12,6,8,45666,22,1
100201,12,57470,6,35382,53,0
100200,12,57469,6,12663,80,0
100200,12,10,8,61978,22,1
100200,12,57469,6,8937,80,0
100200,12,6,8,45666,22,1
100201,12,57470,6,8848,53,0
100200,12,7,7,50279,22,1
100200,12,8,6,59372,22,1
100300,12,1,8,0,0,1
100200,12,5,7,57666,22,1
100200,12,12,8,41599,80,1
100200,12,6,8,41024,22,1
100200,12,9,7,24330,22,1
100201,12,57469,6,61014,53,0
100200,12,57469,6,1605,80,0
100201,12,57469,6,35649,53,0
100200,12,12,8,41599,80,1
100201,12,57470,6,44424,53,0
100200,12,8,6,62467,22,1
100200,12,8846,6,38135,80,0
100200,12,57469,6,1491,80,0
100201,12,57470,6,10740,53,0
100200,12,6,8,45666,22,1
100200,12,10,7,37480,80,0
100201,12,57470,6,42004,53,0
100200,12,9,6,49611,22,1
100201,12,57469,6,61390,53,0
100200,12,7,7,50279,22,1
100200,12,6,9,58690,22,1
100200,12,12,8,41599,80,1
100201,12,57469,6,6774,53,0
100200,12,57469,6,36039,80,0
100200,12,12,8,41599,80,1
100200,12,6,9,58690,22,1
100200,12,8,6,59372,22,1
100200,12,6,8,41024,22,1
100200,12,8,6,5022,22,1
100200,12,10,8,52144,22,1
100200,12,5,8,52813,22,1
100200,12,57469,6,10629,80,0
100200,12,9,6,32146,22,1
100201,12,57469,6,59555,53,0
100302,12,1,8,0,0,1
100201,12,57470,6,65387,53,0
100200,12,12,8,41599,80,1
100201,12,57469,6,23022,53,0
